,Labels,URL,Caption,Likes,URL,source,,
0,Smile Sleeve Font Happy Job Poster Wrinkle Event Brand Collar,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/244739962_167607568802274_663972722037688259_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=FUnsYcZV5SIAX80kRs1&edm=ALQROFkBAAAA&ccb=7-4&oh=c47bac13f7b36aa3fce6a94f6e6aef05&oe=61668A56&_nc_sid=30a2ef&ig_cache_key=MjY3OTQxNzY3MTc3NzA2Nzg4Mw%3D%3D.2-ccb7-4,Every day a New Yorker dies waiting for a transplant. Help change that by signing up as an organ donor. Registerme.org/EnrollmentDay #DonorDay2021 @LiveOnNewYork,29,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/244739962_167607568802274_663972722037688259_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=FUnsYcZV5SIAX80kRs1&edm=ALQROFkBAAAA&ccb=7-4&oh=c47bac13f7b36aa3fce6a94f6e6aef05&oe=61668A56&_nc_sid=30a2ef&ig_cache_key=MjY3OTQxNzY3MTc3NzA2Nzg4Mw%3D%3D.2-ccb7-4,nycgov,,
1,Skyscraper Atmosphere Daytime Building Cloud Water Sky Tower block World Cityscape,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/244438973_191397649781019_8761221350089563168_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=IuTU-UE65poAX9Hhk-k&edm=ALQROFkBAAAA&ccb=7-4&oh=d8b7727179f4da7ce050734f469bf0e4&oe=61669A76&_nc_sid=30a2ef&ig_cache_key=MjY3ODc3ODQ3MDk2MjQ1OTg2Mg%3D%3D.2-ccb7-4,"Cover up New York’s beauty?

FOG-gettaboutit.",432,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/244438973_191397649781019_8761221350089563168_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=IuTU-UE65poAX9Hhk-k&edm=ALQROFkBAAAA&ccb=7-4&oh=d8b7727179f4da7ce050734f469bf0e4&oe=61669A76&_nc_sid=30a2ef&ig_cache_key=MjY3ODc3ODQ3MDk2MjQ1OTg2Mg%3D%3D.2-ccb7-4,nycgov,,
2,Water Sky Building Cloud Font Tower block Real estate Facade Lake City,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/244223938_368298534986661_4759966652246260627_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=FIRpZUXuiJwAX9PvU1v&tn=yqd88YnCcPL5hd0N&edm=AAuNW_gBAAAA&ccb=7-4&oh=16ed68ced3b6c3d9ac6ffbe3ebd2245b&oe=6161A2C7&_nc_sid=498da5,"This might be the most perfect day of the year to ride  your bike from Brooklyn to Manhattan over the new Brooklyn Bridge protected bike lane. 

Only one way to find out!  #Biketober",221,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/244223938_368298534986661_4759966652246260627_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=FIRpZUXuiJwAX9PvU1v&tn=yqd88YnCcPL5hd0N&edm=AAuNW_gBAAAA&ccb=7-4&oh=16ed68ced3b6c3d9ac6ffbe3ebd2245b&oe=6161A2C7&_nc_sid=498da5,nycgov,,
3,Cloud Sky Building Window Nature Plant Orange Dusk Tree Afterglow,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/244045848_4266480940136322_4163863257462959557_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=357AVkfYj1wAX-YiXJj&edm=ALQROFkBAAAA&ccb=7-4&oh=1e64299d2b9b3c725d9ae8fac240f73a&oe=61670A45&_nc_sid=30a2ef&ig_cache_key=MjY3NTkwNDA5MDQ2NDg5NTEzNQ%3D%3D.2-ccb7-4,Sunset #intheBronx.,437,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/244045848_4266480940136322_4163863257462959557_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=357AVkfYj1wAX-YiXJj&edm=ALQROFkBAAAA&ccb=7-4&oh=1e64299d2b9b3c725d9ae8fac240f73a&oe=61670A45&_nc_sid=30a2ef&ig_cache_key=MjY3NTkwNDA5MDQ2NDg5NTEzNQ%3D%3D.2-ccb7-4,nycgov,,
4,Water Water resources Plant World Asphalt Natural landscape Road surface Tree Urban design Thoroughfare,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/243869242_292036456110670_6304236531036891384_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=nHalvceSAD8AX8JAdjB&edm=ALQROFkBAAAA&ccb=7-4&oh=aec1b2058f2018212df25014208cb005&oe=61667DC5&_nc_sid=30a2ef&ig_cache_key=MjY3NTg4MDc2NDI1MjY4OTIyOA%3D%3D.2-ccb7-4,"Climate change is happening NOW. 

The New Normal: Combating Storm-Related Extreme Weather in New York City is our guide. This is how we’ll fight back: on.nyc.gov/IdaReport",278,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/243869242_292036456110670_6304236531036891384_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=nHalvceSAD8AX8JAdjB&edm=ALQROFkBAAAA&ccb=7-4&oh=aec1b2058f2018212df25014208cb005&oe=61667DC5&_nc_sid=30a2ef&ig_cache_key=MjY3NTg4MDc2NDI1MjY4OTIyOA%3D%3D.2-ccb7-4,nycgov,,
5,Water Cloud Building Sky Boat Skyscraper Watercraft Naval architecture Vehicle Mast,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/244053255_604035107293684_8594457174376737582_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=BrWsIyNjGEsAX9w516g&edm=ALQROFkBAAAA&ccb=7-4&oh=f1568b0fab48e4dd6f7ee6d255faad1f&oe=616742DA&_nc_sid=30a2ef&ig_cache_key=MjY3NTE4NjUwOTM4Mjk0MjE4NA%3D%3D.2-ccb7-4,This weather. This city. Can’t beat it.,505,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/244053255_604035107293684_8594457174376737582_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=BrWsIyNjGEsAX9w516g&edm=ALQROFkBAAAA&ccb=7-4&oh=f1568b0fab48e4dd6f7ee6d255faad1f&oe=616742DA&_nc_sid=30a2ef&ig_cache_key=MjY3NTE4NjUwOTM4Mjk0MjE4NA%3D%3D.2-ccb7-4,nycgov,,
7,Skyscraper Building Sky World Tower block Tree Urban design Biome Tower Condominium,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/242630902_605444214162807_3343613535826855399_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Cdr5q_EN2u8AX-9IgrM&edm=ALQROFkBAAAA&ccb=7-4&oh=67491f2fb744c12e3f57dd630af224ab&oe=61660B19&_nc_sid=30a2ef&ig_cache_key=MjY3MDAzNjkzNzUyMDYxMTQ1MQ%3D%3D.2-ccb7-4,BREAKING NEWS: it’s the most perfect Friday in New York City.,1355,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/242630902_605444214162807_3343613535826855399_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Cdr5q_EN2u8AX-9IgrM&edm=ALQROFkBAAAA&ccb=7-4&oh=67491f2fb744c12e3f57dd630af224ab&oe=61660B19&_nc_sid=30a2ef&ig_cache_key=MjY3MDAzNjkzNzUyMDYxMTQ1MQ%3D%3D.2-ccb7-4,nycgov,,
8,Rectangle Font Parallel Circle Number,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/242638835_263833975744252_2657688751862898270_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=M26-EFCSg88AX-qm1KE&edm=AAuNW_gBAAAA&ccb=7-4&oh=06c61a57aef43b59c1f61f0ede8f6f18&oe=61665273&_nc_sid=498da5,"NEW: @NYCMayor names Gabrielle Fialkoff as new @NYCParks Commissioner. 

Read more.",92,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/242638835_263833975744252_2657688751862898270_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=M26-EFCSg88AX-qm1KE&edm=AAuNW_gBAAAA&ccb=7-4&oh=06c61a57aef43b59c1f61f0ede8f6f18&oe=61665273&_nc_sid=498da5,nycgov,,
9,Window Table Chair Building Motor vehicle Coat Urban design Community City Suit,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/242873822_126446596395032_6335414169534532420_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=8qNHPsmhBVwAX86DNKX&edm=AAuNW_gBAAAA&ccb=7-4&oh=bc34dced9d8542ba3d75fab2c94420ec&oe=61659BF5&_nc_sid=498da5,Queens turned out with their questions and concerns at today’s Resource Fair #inQueens.,169,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/242873822_126446596395032_6335414169534532420_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=8qNHPsmhBVwAX86DNKX&edm=AAuNW_gBAAAA&ccb=7-4&oh=bc34dced9d8542ba3d75fab2c94420ec&oe=61659BF5&_nc_sid=498da5,nycgov,,
10,Cloud Water Sky Water resources Atmosphere Daytime Building World Nature Natural landscape,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/242108132_1053708085398259_4182574983661100222_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Tao9zbpEAWoAX8DRSKP&edm=ALQROFkBAAAA&ccb=7-4&oh=7172b44506f6c97589a84ea07e1d24a7&oe=6165E58B&_nc_sid=30a2ef&ig_cache_key=MjY2NTkyODQyMzAxNjQ1ODcwMg%3D%3D.2-ccb7-4,Greatest city in the world.,1792,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/242108132_1053708085398259_4182574983661100222_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Tao9zbpEAWoAX8DRSKP&edm=ALQROFkBAAAA&ccb=7-4&oh=7172b44506f6c97589a84ea07e1d24a7&oe=6165E58B&_nc_sid=30a2ef&ig_cache_key=MjY2NTkyODQyMzAxNjQ1ODcwMg%3D%3D.2-ccb7-4,nycgov,,
11,Skyscraper Cloud Sky Building Tower World Tower block Condominium Commercial building Real estate,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/242188325_246039140757810_5897642387854579217_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=hfQSOcwnLjcAX-6cNIs&edm=ALQROFkBAAAA&ccb=7-4&oh=9bc4951f129f9ebc1a3e83fc32e745db&oe=61660FFD&_nc_sid=30a2ef&ig_cache_key=MjY2NDI5MDA4NjI1MjYxMjU0Ng%3D%3D.2-ccb7-4,Friday eve in the greatest city on earth.,877,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/242188325_246039140757810_5897642387854579217_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=hfQSOcwnLjcAX-6cNIs&edm=ALQROFkBAAAA&ccb=7-4&oh=9bc4951f129f9ebc1a3e83fc32e745db&oe=61660FFD&_nc_sid=30a2ef&ig_cache_key=MjY2NDI5MDA4NjI1MjYxMjU0Ng%3D%3D.2-ccb7-4,nycgov,,
12,Shoulder Facial expression Neck Vision care Sleeve Gesture Eyewear Happy Cool Fashion design,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/241779801_216136333827833_7222190117152379822_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=xw_YIVuECQEAX-LSu53&edm=APU89FABAAAA&ccb=7-4&oh=884af51dab06e8826e53fb05df4a91fe&oe=6166DF78&_nc_sid=86f79a,"First day of school vibes.

Let's make it a safe, incredible year!",363,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/241779801_216136333827833_7222190117152379822_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=xw_YIVuECQEAX-LSu53&edm=APU89FABAAAA&ccb=7-4&oh=884af51dab06e8826e53fb05df4a91fe&oe=6166DF78&_nc_sid=86f79a,nycgov,,
13,Outerwear World Light Sky Travel Jacket Space Midnight Beauty Electric blue,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/241798263_583490842657200_4659138343808053297_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=ovQlNq4kE9QAX_TfBMV&tn=yqd88YnCcPL5hd0N&edm=APU89FABAAAA&ccb=7-4&oh=b3d060f974e7e9b77ad95ed3299e9b7f&oe=6166B9CD&_nc_sid=86f79a,"“20 years later, we still feel the pain. But we also feel the spirit of a city that always comes back in the face of adversity.”

– @NYCMayor 
#September11",1754,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/241798263_583490842657200_4659138343808053297_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=ovQlNq4kE9QAX_TfBMV&tn=yqd88YnCcPL5hd0N&edm=APU89FABAAAA&ccb=7-4&oh=b3d060f974e7e9b77ad95ed3299e9b7f&oe=6166B9CD&_nc_sid=86f79a,nycgov,,
14,Hand Sky Shorts Tartan Hat Travel Event Fun Landscape Leisure,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/241674049_344388424052802_486893643163288786_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=rR5L8QoKuIAAX9_8UgH&edm=ALQROFkBAAAA&ccb=7-4&oh=90c5932d5c8e2790bc3499467eb621f0&oe=61664053&_nc_sid=30a2ef&ig_cache_key=MjY2MDc3NTY0ODc2NTYwMzQ2NA%3D%3D.2-ccb7-4,"Love, like light, goes on forever. #NeverForget",1913,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/241674049_344388424052802_486893643163288786_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=rR5L8QoKuIAAX9_8UgH&edm=ALQROFkBAAAA&ccb=7-4&oh=90c5932d5c8e2790bc3499467eb621f0&oe=61664053&_nc_sid=30a2ef&ig_cache_key=MjY2MDc3NTY0ODc2NTYwMzQ2NA%3D%3D.2-ccb7-4,nycgov,,
15,Daytime Photograph Flower Blue Human Fashion Street fashion Tree Happy Standing,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/241730300_441196337196465_6571039621260761209_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=85CRzn0kFTEAX-p4zfy&tn=yqd88YnCcPL5hd0N&edm=APU89FABAAAA&ccb=7-4&oh=707b5c32a783345611508b47e874f182&oe=6165F812&_nc_sid=86f79a,"Our city mourns together today. Always remember your enduring love is proof of your loved one’s impact on this world — the joy, camaraderie and light they shared with you and others. Grief is a sign of something great taken too soon but eternally beloved. #NeverForget",2379,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/241730300_441196337196465_6571039621260761209_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=85CRzn0kFTEAX-p4zfy&tn=yqd88YnCcPL5hd0N&edm=APU89FABAAAA&ccb=7-4&oh=707b5c32a783345611508b47e874f182&oe=6165F812&_nc_sid=86f79a,nycgov,,
16,Car Vehicle Land vehicle Dog Photograph Motor vehicle Hood Blue Automotive design Automotive exterior,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/241314052_240995384470847_1244246613939545933_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=XaQGbwBArMUAX_3n82_&edm=ALQROFkBAAAA&ccb=7-4&oh=a6b365f1a850ddef477d54fb9e3f3060&oe=61664926&_nc_sid=30a2ef&ig_cache_key=MjY1Nzc5NjE2MzM5NzEyMDE3NQ%3D%3D.2-ccb7-4,"Doggone it, we love this town.",403,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/241314052_240995384470847_1244246613939545933_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=XaQGbwBArMUAX_3n82_&edm=ALQROFkBAAAA&ccb=7-4&oh=a6b365f1a850ddef477d54fb9e3f3060&oe=61664926&_nc_sid=30a2ef&ig_cache_key=MjY1Nzc5NjE2MzM5NzEyMDE3NQ%3D%3D.2-ccb7-4,nycgov,,
17,Amber Font Circle Poster Illustration Liquid Handwriting Drink Art Wood,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/241379037_377323863934910_877291454087951571_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=fRunJN4k2RkAX_ZpK-B&edm=ALQROFkBAAAA&ccb=7-4&oh=15b118835530fbfd7a7b504757c8962d&oe=61657783&_nc_sid=30a2ef&ig_cache_key=MjY1NzA0Mzg2ODA2NTQ2NTA0Mw%3D%3D.2-ccb7-4,Shanah Tovah to all New Yorkers celebrating Rosh Hashanah! May you all have a happy and healthy new year.,400,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/241379037_377323863934910_877291454087951571_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=fRunJN4k2RkAX_ZpK-B&edm=ALQROFkBAAAA&ccb=7-4&oh=15b118835530fbfd7a7b504757c8962d&oe=61657783&_nc_sid=30a2ef&ig_cache_key=MjY1NzA0Mzg2ODA2NTQ2NTA0Mw%3D%3D.2-ccb7-4,nycgov,,
18,Font Electric blue Terrestrial plant Science Brand Event Slope Publication Logo,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/241313973_1222479744831601_7137378186814046396_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=icWZMdW7v30AX-E8C8n&edm=ALQROFkBAAAA&ccb=7-4&oh=99cfffcf355ce9255f96e32eff13cbf5&oe=6166A9A0&_nc_sid=30a2ef&ig_cache_key=MjY1NTU2MjcxMDc2OTQ1NzY0Mw%3D%3D.2-ccb7-4,"NEW LOCATIONS!

Ida Recovery Service Centers will be open for any New Yorker who needs help. No one will be asked about immigration status. Stop by and get help from many City agencies all at one location. Visit the #linkinbio for more.",441,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/241313973_1222479744831601_7137378186814046396_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=icWZMdW7v30AX-E8C8n&edm=ALQROFkBAAAA&ccb=7-4&oh=99cfffcf355ce9255f96e32eff13cbf5&oe=6166A9A0&_nc_sid=30a2ef&ig_cache_key=MjY1NTU2MjcxMDc2OTQ1NzY0Mw%3D%3D.2-ccb7-4,nycgov,,
19,Water Sky Skyscraper Building Cloud Tower Boat Tower block Watercraft Cityscape,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/240635356_427560721967333_7719844020952703725_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Y5cEE-OQSf8AX-fcDhI&edm=ALQROFkBAAAA&ccb=7-4&oh=9f725b7457aa956aceec3b27a09d17e1&oe=61666203&_nc_sid=30a2ef&ig_cache_key=MjY0NzYyOTE0MjA2MzgxNjAxNg%3D%3D.2-ccb7-4,"10 out of 10, highly recommend.",1681,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/240635356_427560721967333_7719844020952703725_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Y5cEE-OQSf8AX-fcDhI&edm=ALQROFkBAAAA&ccb=7-4&oh=9f725b7457aa956aceec3b27a09d17e1&oe=61666203&_nc_sid=30a2ef&ig_cache_key=MjY0NzYyOTE0MjA2MzgxNjAxNg%3D%3D.2-ccb7-4,nycgov,,
20,Cloud Water Sky Vehicle Boat Blue Watercraft Naval architecture Bird Body of water,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/240440174_531110678105459_8789390914637620613_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=m5zkc3Cg3wsAX90Hjgo&edm=ALQROFkBAAAA&ccb=7-4&oh=a84d4ccfdb74127f6b675ea24acfdf93&oe=61669674&_nc_sid=30a2ef&ig_cache_key=MjY0NjkyMjE4NDc1OTI0NzU4Mw%3D%3D.2-ccb7-4,Closing out an amazing first day #OnStatenIsland for City Hall in Your Borough! See ya tomorrow!,334,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/240440174_531110678105459_8789390914637620613_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=m5zkc3Cg3wsAX90Hjgo&edm=ALQROFkBAAAA&ccb=7-4&oh=a84d4ccfdb74127f6b675ea24acfdf93&oe=61669674&_nc_sid=30a2ef&ig_cache_key=MjY0NjkyMjE4NDc1OTI0NzU4Mw%3D%3D.2-ccb7-4,nycgov,,
21,Font Electric blue Signage Logo Brand Sign Graphics Circle Graphic design Trademark,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/240385321_133976795595871_2943754908126560655_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=GyNYkuIB-H8AX-0h6Sv&edm=ALQROFkBAAAA&ccb=7-4&oh=e0984b5b0330bafd0175df1b1b40aada&oe=61675916&_nc_sid=30a2ef&ig_cache_key=MjY0NTQzNzY2NjE5ODE3ODg5MQ%3D%3D.2-ccb7-4,"A Tropical Storm Warning is in effect citywide as #HurricaneHenri makes landfall early Sunday morning.

➡️ Flood Watch from 8PM tonight to 8AM Monday
➡️ Storm Surge Warning in parts of Bronx and Northern Queens
➡️ Secure belongings for high winds",412,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/240385321_133976795595871_2943754908126560655_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=GyNYkuIB-H8AX-0h6Sv&edm=ALQROFkBAAAA&ccb=7-4&oh=e0984b5b0330bafd0175df1b1b40aada&oe=61675916&_nc_sid=30a2ef&ig_cache_key=MjY0NTQzNzY2NjE5ODE3ODg5MQ%3D%3D.2-ccb7-4,nycgov,,
